nama,review,bintang
Nindyo Yuwono,"Kampus para mahasiswa teknik menimba ilmu tapi fakultas tekniknya  bukan cuma jurusan elektro aja ya tapi memang fokus utamanya lebih banyak untuk mendukung usaha kelistrikan PLN dgn motto ""masa depan bidang energi itu jelas kelistrikan dan pilarnya adalah IT PLN"" kata pak Darmawan Prasojo, dirut PLN",4
Muhammad Fanani Hafifudin,"Untuk sekarang kampus udah bagus, banyak fasilitas yang sudah memadai. Alangkah baiknya dengan majunya fasilitas ini diimbangi dengan kinerja para staf dan dosen yang bekerja disini. Agar antara mahasiswa dan staf bisa memberikan pelayanan yang terbaik. Terutama staf fakultas yang jutek dan kadang menyepelekan kebutuhan mahasiswa. Hal ini sangat menganggu saya diwaktu saya mengurus administrasi baik untuk sidang maupun wisuda. Tolong lebih di upgrade lagi lah pelayanannya, kasian kampus dah bagus bagus tapi kalau pelayanannya kureng buat apa. Kurangi pungli pungli yang di dalam kampus sihh, sayang banget kalau sekelas kampus IT PLN di dalemnya masih ada yang nyuruh beli ini itu demi nilai bagus nanti di anjungannya. Untuk dosen sudah bagus, namun masih banyak oknum” yang mencoreng nama bagus dosen. Ada yang gak pernah masuk dan juga ada yang tiba tiba masuk waktu UAS nyruh beli buku, kalau gak beli gk dpt nili bagus 😂. Semoga apresiasi dan kritik ini menjadi bahan pertimbangan staf dan dosen dikampus ini meningkat.Untuk sekarang kampus udah bagus, banyak fasilitas yang sudah memadai. Alangkah baiknya dengan majunya fasilitas ini diimbangi dengan kinerja para staf dan dosen yang bekerja disini. Agar antara mahasiswa dan staf bisa memberikan pelayanan …Lengkapnya",4
Hafizh Hilman Asyhari,"Sangat cocok untuk abis SMA belajar teknik kelistrikan, setiap Fakultas tuh ya punya banyak laboratorium yg modern sesuai perkembangan teknologi modern.",2
The Scrivener's Presenter Global,Ruang kelas bagus. Ada fasilitas yg mumpuniJuga ada jurusan baru jadi lebih banyak dan lengkap kayakS1 Teknik LingkunganS1. GeografiS1. Teknik Sistem EnergiS1. Rekayasa Keamanan SiberS1. Kendaraan ListrikS2. Teknik SipilS2 Ilmu KomputerS2 Teknik MesinRuang kelas bagus. Ada fasilitas yg mumpuniJuga ada jurusan baru jadi lebih banyak dan lengkap kayak …Lengkapnya,2
MUHAMMAD RIZKY,"Kampus kesayangan. Mudah dijangkau karna terlihat dengan sangat jelas dari tol dan dari jalanan biasa. Semoga selalu maju ya dan lekas ganti jadi ITT-PLN. Banyak kenangan dan pelajaran berharga didapat dari kampus ini. Alat alat pendukung praktek tergolong lengkap. Karna memang masih yayasan PLN, mungkin alat ketenagalistrikan yang lengkap ini di dapat dari PLN itu sendiri (hibah?). 😊👍Kampus kesayangan. Mudah dijangkau karna terlihat dengan sangat jelas dari tol dan dari jalanan biasa. Semoga selalu maju ya dan lekas ganti jadi ITT-PLN. Banyak kenangan dan pelajaran berharga didapat dari kampus ini. Alat alat pendukung …Lengkapnya",5
Si Jabat,"Apakah benar klo lulusan itpln gampang cari kerja, apa dicari dari kampus nya. ?",5
Irvan Adianto,"ANAK2 KULIAH DISINI RATA2 GK PUNYA ATTITUDE, TIAP MALAM NGUMPUL TERIAK2 SEOLAH2 DIKIRA DIKAMPUNG BAPAKNYA...Otaknya pd konslet kali ya, TIAP TAHUN RATA2 BEGITU...GAK CEWEK, GAK COWOK SAMA AJA...PADA GAK PUNYA ETIKA, PADA SONGONG",5
Aprida Siahaan,"UKT ELIT ANJUNGAN SULIT.1. perubahan password harus hubungin admin dulu, padahal dulu perubahan password bisa dari anjungan dan dilakukan sendiri oleh mahasiswa pemilik anjungan, kalau si admin yang ubah itu namanya BUKAN PASSWORD.2. Masalah biaya cicilan semester yang tidak jelas, tidak ada info dianjungannya berapa perbulan dan dari tanggal berapa ke berapa pembayarannya (TIDAK ADA!) semuanya sistem manual harus diinput dulu berapa angkanya, RIBET! Inikan kelas karyawan, waktunya bisa kuliah bisa kerja! Mana lah inget bayar kuliah kapan ke kapan, dikasih saran malah ngelunjak, bukannya mau nerima saran dan perbaiki sistem jadi lebih baik! Bad bgt pelayanan it pln sekarang ini!UKT ELIT ANJUNGAN SULIT.1. perubahan password harus hubungin admin dulu, padahal dulu perubahan password bisa dari anjungan dan dilakukan sendiri oleh mahasiswa pemilik anjungan, kalau …Lengkapnya",5
Cahyana Wiyana,"Lokasi mudah dijangkau,  mahasiswa dari Sabang sampai Merauke",5
Sinung Abie,"Biaya kuliahnya mahal. Belum tentu semua mahasiswa/i masuk dalam kelas kerjasama PLN,PJB,IP. karena akan direkrut di pertengahan semester bukan dari awal kita masuk, jadi terkesan PHP. kedepannya lebih baik fokusin untuk kelas kerjasama saja.",5
Aldian Rahman,Kampus kecil yang menjadikan mahasiswa menjadi orang orang hebat nantinya di bidang kelistrikan indonesia,2
maryudi yuanto,Sekolah Tinggi Teknik PLNS2 Teknik ElektroS1 Tenik ElektroS1 Teknik InformatikaS1 Teknik MesinS1 Teknik SipilDIII Teknik ElektroDIII Teknik MesinSekolah Tinggi Teknik PLNS2 Teknik ElektroS1 Tenik Elektro …Lengkapnya,2
Arif Febrianto,Sekolah khusus untuk teknik listrik terutama arus kuat..,1
Yan Adeline,"Pintu masuk dari gerbang depan maupun gerbang belakang jorok dan kumuh.Pintu masuk gerbang depan: saluran got banyak sampah bau nyengat pas depan KlandataPintu masuk gerbang belakang: banyak aktivitas pembakaran sampah, penumpukan sampah berbulan-bulan hingga akhirnya saya harus laporkan ke Dinas Lingkungan Hidup maupun pihak kelurahanPintu masuk dari gerbang depan maupun gerbang belakang jorok dan kumuh.Pintu masuk gerbang depan: saluran got banyak sampah bau nyengat pas depan …Lengkapnya",1
Yulisya Zuriatni,"STT PLN sudah berubah status kelembagaan menjadi Institut Teknologi PLN. IT PLN sebagai kampus yang Modern, Unggul, dan Mandiri 👍🏻",1
Indra Waliyuda,"Smga dibawah komando  Prof. Dr. Ir. Iwa Garniwa Mulyana K, MT. STT PLN yg telah resmi menjadi IT PLN, menjadi semakin maju..",1
Grab Trisuseno,"Byk aturan sttpln Cengkareng Jakarta barat mahasiswa nya mau masuk aja wajib pakai helm klau kgk bawa di suruh parkir di luar gedung, padahal satpamnya harus tau yang gaji diakan dari mahasiswa. Dan anenya lagi saya mau anter anak aja enggak boleh masuk.",5
tridHiE,Tengok kampus sebelum ananda masuk taun ajaran baru... Alhamdulillah diterima via seleksi rapot. Smg smua yg mjd harapan dan cita-cita terwujud kan.. aamiin yaa rabbal alamin,5
Abdul Manan,Salah satu kampus perguruan tinggi di sekitaran jakarta barat yang cukup bagus. Berdekatanbdengan gardu induk PLN. Fasilitasnya cukup lengkap,5
oktaria handayani,Kampus gw nih s1 dan s2 nya...jd inget dosen2nya mantep2 sharing ilmu lapangan ya top cer. Dan sekarang udah glowing dong huhu kenapa gak pas gw msh mahasiswa,5
sapto yuwono,"Kampus yang didukung oleh dosen dosen berpengalaman, proses transfer knowledge langsung dari ahlinya, bukan hanya teori saja.Laboratorium yang cukup lengkap diantaranya lab PLTU mini (satu satunya kampus yang punya lab PLTU ini), lab waste to energi, lab PLTS dan laboratorium lainnya...",5
Jejak Affiq,Pernah Kuliah disini di S1 Mesin😘Sekarang kampusnya tambah keren. Pas kuliah dpt beasiswa dari YPK PLN dan bisa jadi asisten laboratorium. Selain dpt ilmu dapat honor juga buat biaya kuliahnya😇🥳,5
Akbar,Salah Satu kampus teknik terbaik,5
Pandu Lesmana,Kampus gue.. Asli makin keren..Semoga makin jaya 🌹🌹🌹,5
Firas Rasendriya,"terima kasih universitas pln, alhamdulliah teman saya dewan laksana lolos di universitas ini",5
Ryan Pace,"Kampus yang lokasinya sangat strategis, dekat dengan stasiun kereta dan bukan lokasi yang macet. fasilitasnya pun sudah sangat lengkap. kebetulan diriku juga alumni ITPLN Jurusan Informatika 😘😎🙌",5
Gervan,Kampus elit anjungan sulit terus itu kok songong amat student worker kalian sok keren amat yang angkatan 2020,1
Abdillahaq lanang,kampus nya bagus,1
Opay Purnawan,Tempat kuliah yang terkenal khas di bidang energi listrik dengan dosen lulusan luar negeri yang telah terbukti.,5
Muhammad Irfan,"Sekolah Tinggi Teknik - PLN atau STT-PLN adalah perguruan tinggi yang bernaung di bawah Yayasan Pendidikan dan Kesejahteraan PT.PLN (Persero), dan didirikan sebagai upaya memenuhi tuntutan akan tenaga-tenaga ahli yang terdidik, terampil dan profesional di bidang ketenagalistrikan.",5
Dine Tiara,Salah satu kampus teknik dengan laboratorium paling lengkap dengan dosen dari akademisi dan praktisi berpengalaman dibidangnya. TOP 👍,5
