nama,review,bintang
kalyca raya,Pelayanan nya sangat bagusMembantu sekali saat kita mau mendaftar online sebagai mahasiswa baru,5
Dwi Yuan,Penggemar bakso hayo coba rasa bakso saya di Ketintang depan telkom,5
Adi Prasetyo,"Salah satu kampus it telkom di daerah strategis Surabaya, tepatnya di daerah Ketintang. Program studi disini juga lumayan lengkap. Fasilitas cukup memadai dan baik. Halamannya cukup luas dan bersih. Sangat recommended untuk belajar disini.",5
mutmainnah salaminna,Murid saya ada yg kuliah disini... Baru aja lulus Oktober 2024 Alhamdulillah semoga segera bisa mengabdi di masyarakat,5
A.R. Bagas Danang Haditio,"Kangen suasana shalt ied di lapangan Telkom tdk di dalam masjid Telkom ketintang, karena sunahnya shalat di lapangan agar takbir terdengar dgn lantang",5
Intan Nurmala,"semuanya sempurna, tidak ada yang kurang dari pelayanan nya. semoga saya bisa bergabung di UTS",5
VividMUA,"Kampusnya adem, Semoga Telkom University meningkatkan kualitasnya, Semua Jurusan Terakreditasi Unggul Semuanya, btw bangunan bekas ATM itu bisa di bongkar supaya kelihatan wajah Keren Kampus Telkom University 🥰",5
Rosyid Abdillah,"salah satu opsi terbaik untuk studi lanjut dibidang IT. Karena dibawa naungan BUMN terbaik negeri, kedepan tentu akan jadi salah satu perguruan tinggi ternama di Jatim dan Indoensia",5
Nika Yustina,Mau nyari kos buat anak yg akan kuliah disana..minta recomend kosan cowok yg bagus..yg dekat kampus.,1
Herman ahmad,Pelayanan admin sangat ramah dan responsif 👍👍👍,1
Titin Widowati,Berkunjung ke sini pengen jalan jalan aja lihat kampus. Securitynya raaamaaah...,5
Mochamad Erwin Syahbani,Terima kasih atas keramahannya. Sukses slalu  buat Universitas Telkom Surabaya,5
firman,"Kampusnya bersih dekat dari mana mana, dan ada wifi cornernya.",5
