nama,review,bintang
m. ltfh,Lokasinya masuk lumayan jauh dari jalan utama. Masuk lewati SMP dan SMK dulu.Ojol bisa masuk sampe dalam. Tapi di sinu belum nemu kantin sih. Kantinnya ada di kompleks SMK deh kayaknya.,5
Muhammad Yunus Dani Saputra,"Fasilitas di ITTP menurut saya sudah sangat menunjang dalam aspek perkuliahan ditambah dengan adanya 14 program studi, kalian bisa bebas memilih bidang apa saja sesuai keinginan kalian",5
MARIO MALIK SAPUTRA,Udah test di SMA N 2 Pemalang hasilnya memuaskan peringkat 2 dari 10 yang ikut test sayang sekali kalah dari peringkat 1Eh malah COVID-19🦠😷 padahal kalaupun jadi kuliah disini niatnya mau ngambil jurusan Ilmu Telekomunikasi S1,5
Rodo Saragih,"Kampus hebat bisa melahirkan alumni yg berkualitas sesuai dengan kemampuan dibidangnya masing""",5
Ahmad Shofan Shofa,"Institut Teknologi Telkom Purwokerto (ITTP) merupakan perguruan tinggi swasta milik Telkom Group yang dikelola melalui Yayasan Pendidikan Telkom (YPT) dengan tagline utama yakni Digital Campus for Digital Future. 13 program studi yang ada, siap mengantarkan generasi muda Indonesia ke gerbang masa depan digital.",4
Izzul Fikri,"Good, biaya kuliah yang murah dan banyak tawaran beasiswa nya.""Jadikan nama besar kampus disebabkan oleh mahasiswanya, bukan mahasiswa yang terlihat hebat karena nama besar kampusnya""",4
Arsalan nisha (Arsalan Nisa),"Baru pernah ke sini, buat ikut acara edufest Hompimpaa.  Tempatnya nyaman,  parkiran rapi dan teratur.",5
Nayrn Ri,"Suasana kampus yang nyaman dan masih asri. Intitut teknologi ini milik yayasan telkom yang terdapat jurusan S1 Teknik Telekomunikasi, D3 Teknik Telekomunikasi, S1 Teknik informatika, S1 Sistem Informasi, S1 Desain Komusikasi Visual, S1 Teknik Elektro, S1 Software Enginer. Disini juga terdapat beasiswa yang tidak neko"".",5
Han Han,"Sebenarnya kampus sangat bagus dari segi bangunannya,apalagi jadi satu lingkup dgn SMK dan SMP walaupun lokasi kampus paling blkng dan kudu jalan kaki agak jauh (kecuali mesen ojol bisa aja sampe dalam asal ga ada satpamnya)..klo dibilang kampus bergengsi sih kyknya ngga terlalu karena ada proses pendaftaran yg terbilang mudah,bermodalkan skor utbk minimal 400 ntah aturan sejak kapan tp saya yg angkatan 21 sudah ada persyaratan aturan pendaftaran dgn skor utbk segitu..nah,untuk beasiswa cukup beragam dan ada satu beasiswa yg khusus bagi camaba wilayah barlingmascakeb.Seputar jurusan,ada satu jurusan yg menurut saya biayanya klo full lumayan mahal,blm sama biaya semester an+tambahan pembelian alat untuk menunjang tugas perkuliahan terutama laptop (yg ini emang hampir di semua jurusan butuh)😁Seputar dosen,bbrp dosen selama hampir 2,5 taun ini bbrp cukup baik dalam mengajar,memberikan materi/brief tugas..malah terkadang mahasiswa bkl diajar lagi sama dosen yg pernah ngajar di matkul semester sblm²nya..dan sisanya sejujurnya ada yg klo ngajar bikin ngantuk,bosen,dan susah dipahami/dicerna penjelasannya.Seputar mata kuliah,untuk mata kuliah semester 1-3 masih oke masih lumayan bisa dipahami,jadi untuk lulus keseluruhan mata kuliah masih bisa walaupun ada bbrp yg emang kudu ngulang. Tp untuk semester 4 ke atas jujur aja rasanya mulai puyeng,makin kesini tugasnya makin banyak,diluar nalar,dan sistem pengerjaannya bisa dibilang ada yg susah ntah itu dr segi materi,fisik,mental dllSebenarnya kampus sangat bagus dari segi bangunannya,apalagi jadi satu lingkup dgn SMK dan SMP walaupun lokasi kampus paling blkng dan kudu jalan kaki agak jauh (kecuali mesen ojol bisa aja sampe dalam asal ga ada satpamnya)..klo dibilang …Lengkapnya",5
richard Ibrahim,"Manajemen kampusnya jelek, jgn kuliah disini",5
Galih D Pangestu,Salah satu kampus terbaik di kota purwokerto!,5
Sekala Bumi,Kampusnya bagus dan Jalan ke kampusnya seperti arena drag motor alias tinggal lurus saja,5
Kitab Gaming,"Kampus yg terlalu toxic, kalau libur hari besar belum tentu itu libur sepenuhnya di kampus ini. Kalau mau registrasi mata kuliah susah banget, web buat registrasi langsung down, padahal ini sekolah Teknologi, tapi tiba-tiba kelasnya udh penuh, registrasinya settingan",5
Erni Primandanu,Kampus dan prestasinya sangat baik,5
Ganang Tulus Prananda,"Tempat yang sangat nyaman untuk menempuh ilmu. Ditambah dengan panorama Gunung Slamet, membuat kampus ini cocok untuk Anda yang ingin berkuliah, sembari healing.",5
Miftahul Khair,WOWWWW KAMPUSNYA INDAHHHH BANGETTT 😍🥰😘,5
rizqi dwi Alfiyanto,Salah satu sekolah perguruan tinggi yg keren dengan kualitas yg tidak diragukan.,3
Nano Suyitno,"Telkom university purwokerto, good campus 👍",3
Samsul Ma'arif,Beberapa kali ikut workshop di sini. Sayangnya panitia tidak menyediakan koneksi internet memadai untuk acara tersebut.,1
Moh. Imron Rosyadi,Ternyata luas tempatnya lur,1
Sutrisno Official,"Lokasi bersih dan rapi, sebuah sekolah favorit di kota Purwokerto",5
Andi Dwi Riyanto,Pernah ikut lomba disini dan juara 2. hackathon Merdeka 2.,5
Setie Ruhdi Koara,salah satu kampus berbasis teknologi terbaik yang ada di jawa tengah. serta mahasiswa dan mahasiswi yang datang berasal dari seluruh indonesia! Luar biasa. pasti jadinya kita bakal ketemu sama teman baru dari seluruh provinsi yang ada di indonesia ini.,5
hani forensik,"Ok, cm masuknya kalo jalan kaki dari SMK Telkom ke belakang lumayan buat olahraga ..pemandangan hamparan sawah dan lereng gunung Slamet dari lt 5 sangat memukau di jiwa..",5
Zuru 72,"Cukup luas dan masih banyak peningkatan yang ada di masa mendatang.Namun rasanya kurang karena smp, smk, dan fakultas di gabung.",1
Arif Agustyawan,Merupakan satu-satunya Institut Teknologi di Jawa Tengah. Memikik prodi yang cukup banyak dan tentunya populer sehingga bisa menjadi pilihan untuk para siswa SMK maupun SMA untuk melanjutkan pendidikannya di IT Telkom Pourwokerto ini.,1
