nama,review,bintang
Firdaus Agil Prasetyo,"Dari luar tampak seperti rumah hantu. Tapi lihatlah ketika anda masuk sini. Semuanya begitu sempurna, tempatnya bagus, ruangannya bagus full AC dimana mana. Perpusnya juga bagus. Dosennya juga ramah ramah komunikatif juga. Pokoknya anda ga bakalan nyesel kalo kuliah disini. Pembelajaran juga interaktif. Dosennya muda muda semua under 35th.Dari luar tampak seperti rumah hantu. Tapi lihatlah ketika anda masuk sini. Semuanya begitu sempurna, tempatnya bagus, ruangannya bagus full AC dimana mana. Perpusnya juga bagus. Dosennya juga ramah ramah komunikatif juga. Pokoknya anda ga …Lengkapnya",5
Miftah NG,"Unik. Kampus ""heritage"" pertama yang pernah saya datangi. Area bekas pabrik Semen Gresik yang dipindah ke Tuban. Para mahasiswa & staf ramah². Perpustakaan & fasilitas lainnya mantap. Adem kalau sudah masuk ke gedungnya.Harus mampir kesini. Instagramable. (Sept. 2019)",5
MiawLegenD_,"Kekurangan yang ada :1. ParkiranGa ada parkirannya, ga ada atapnya jadi bikin ban motor sering kempes, kalo hujan helmnya jadi basah, ga ngerti lagi sama parkirannya...2. TanggaAkses menuju gedung 4 tangganya sangat curam dan tidak aman apalagi waktu setelah hujan licin tolong diperbaikin3. ACAc dibeberapa kelas terutama di gedung 3 banyak yg tidak berfungsi dengan baik, ac nya sangat berisik dan menganggu kelas, tidak bisa diatur suhu nya kadang sangat dingin tidak bisa diturunkan suhu nya jadi menganggu kelas, jika tidak pakai AC sangat panas apalagi ini gresik. Akses menuju gedung 3,4,5 kampus A tidak ada parkiran jadi harus parkir di depan dekat kantin maka membutuhkan energi ekstra untuk menuju kelas sampai dikelas malah AC nya bermasalah😊4. Kantin dan mushollahUntuk kampus A lagi, untuk kantin nya bagi petugas kebersihan kampus harap dibersihkan karena menurut saya cukup kotor bagi tempat makan dan istirahat,Kantinya di siang hari sangat panas mungkin karena atapnya yang besi, Kemudian untuk musholla, mungkin bisa direnovasi agar lebih bisa disebut mushollah karena ini tempat ibadah. Lalu pada meja kantin terdapat beberapa stopkontak yang tidak berfungsi dan besinya sudah berkarat dan mushala tempat wudhu perempuan kalau sudah maghrib tidak ada lampunya sehingga gelap dan terpaksa menggunakan flash HP.Sangat tolong UKT tidak murah dan saya berharap mendapatkan fasilitas yang layak seperti kampus yang lain ☺️Edit ulasan : GA ADA SAMA SEKALII PERUBAHAN!! CUMAN DIKASIH LAMPU DOANG DIMUSHOLA ! PLIS LAH PARKIRAN, GA ADA PARKIRANNYA.Kekurangan yang ada :1. ParkiranGa ada parkirannya, ga ada atapnya jadi bikin ban motor sering kempes, kalo …Lengkapnya",5
Hafiz Nafi'uddin,"Universitasnya sangat bagus, tapi lebih diperhatikan untuk yang dikampus 2, jalannya agak licin dan berpasir jadi ditikungan mudah jatuh, 🙏Terima Kasih untuk dosen² dan Mahasiswa yang sangat membantu dan sangat baik sudah mau membantu seluruh proses belajar sampai selesai, 🙏",5
Chandra Bintang,"Hati-hati dengan dosen gadungan yang bernama ""OKTAVIAN ZULFIKY"" yang mengaku bekerja di UISI dan terbukti telah memalsukan gelar S2 nya.",1
Wandy Bear,"Sementara 3 bintang dulu ya min.Min, calon mahasiswa/mahasiswi yang buka dari keluarga karyawan dan bukan lulusan dr sekolah mitra, Apakah bisa untuk daftar/masuk di UISI?",1
Fajar Rifat,"Jalan masuk untuk motor ke kampus B paving nya banyak yg rusak ngak rata min, mending di jadikan 1 saja jalan masuk untuk motor dan mobil",3
Justin Hubner,"Dapat Orderan Go Ride Atas Nama ""Amelia S"" pada hari selasa 29 November 2022 pukul 14:56 katanya sudah menunggu di pos satpam ternyata masih jam kelas dan saya sudah nunggu hampir 1 jam di pos satpam orderan malah di cancel. Sudah di bantu beberapa mahasiswa dan mahasiswi yg lain untuk di carikan di WA temen"" prodinya tp tidak ada mungkin kebetulan bukan rekan prodinya.Dapat Orderan Go Ride Atas Nama ""Amelia S"" pada hari selasa 29 November 2022 pukul 14:56 katanya sudah menunggu di pos satpam ternyata masih jam kelas dan saya sudah nunggu hampir 1 jam di pos satpam orderan malah di cancel. Sudah di bantu …Lengkapnya",3
thandmustedi Pur,"1. Syarat pendaftaran kurang terperinci dan sistematis2. Kurikulum perlu diinformasikan dg suatu harapan calon mahasiswa yg ingin mendaftar tahu, apa yg akan diberikan pihak kampus terhadap mahasiswa. (Mahasiswa mau didesaian menjadi lulusan seperti apa)3. Karena ujungnya kuliah setelah lulus itu kerja, maka  jaminan apa yg bisa diberikan kampus terhadap kelulusannya. (Kl hanya sekedar meluluskan tanpa memberikan solusi/peluang kerja, tdk ada bedanya dg kebanyakan kampus yg hanya meluluskan pada akhirnya masih dipusingkan dg mencari kerja...)4. Keunggulan-keunggulan apa yg bisa diberikan kampus terhadap mahasiswanya?5. Maaf, bisa belajar dr PT lain bagaimana cara menginformasikan lebih lugas.Sebenarnya masih banyak yg ingin saya sampaikan tapi untuk sementara cukup 5 hal itu, yg saya anggap masih perlu ditingkatkan.Demikian yg bisa saya informasikan, mudah-mudah dapat dijadikan masukan.Bravo Edi Purwanta moxer1. Syarat pendaftaran kurang terperinci dan sistematis2. Kurikulum perlu diinformasikan dg suatu harapan calon mahasiswa yg ingin mendaftar tahu, apa yg akan diberikan pihak kampus terhadap mahasiswa. (Mahasiswa …Lengkapnya",1
Nurtoha Mr,"Lokasinya cukup Sejuk, asri dan bersih, banyak pohon2 yg rindang, Tempat parkir juga luas, ada Musholla, warung2 makan..Pokoknya asik utk Belajar",1
