nama,review,bintang
PEMBERI ULASAN,"kampus aneh pada masanya sebelum covid , waktu masih politeknik pos indonesia. orang tinggal skripsian, udh dapat magang, malah disuruh ketua prodinya dikasih ke sodara dia. nyuruh saya cari magang lain. najis bener ketua prodi kampus ini pada masa itu. tau sekarang sampe ganti nama jadi ULBI, makin bener apa makin bobrok. moga aja dosen tersangkanya baca dan inget punya dosa apa ke saya dan orang tua saya.orang tua saya datang dari luar kota ke bandung,  malah di usir , disuruh pulang lagi, padahal usia orang tua saya lebih tua dari dosen itu. SOPAN ?? kagak woi.saya tidak nunggak bayaran apapun, uang gedung lunas, semester lunas. tapi dipersulit. najis tralala emang. inget anda islam, percaya ada hari dimana timbang amal baik dan buruk. sudah lewat bertahun2 saya masih inget kejadian itu dan nama dosennya,buat anda sekalian sebagai orang tua , lebih baik kuliahin anak anda di POLMAN di dago, POLBAN, DLL. rata2 yang kuliah disana ga dipersulit kuliahnya.ni kisah nyata saya pribadi.kampus aneh pada masanya sebelum covid , waktu masih politeknik pos indonesia. orang tinggal skripsian, udh dapat magang, malah disuruh ketua prodinya dikasih ke sodara dia. nyuruh saya cari magang lain. najis bener ketua prodi kampus ini …Lengkapnya",1
Naufal Adilla Bestari,"Tidak memanusiakan mahasiswa saat ospek contohnya, ada yg sakit malah bukannya di suruh istirahat melainkan malah harus tetap ikut kegiatan, pdhal kampus lain tak seperti itu, apaan coba",1
Aqila Ashfa Afiza,"Harusnya bisa memporsikan berbagai acara..Disini kampus terletak bersampingan dgn masyarakat,, tapi yg punya management gaa berpikir dl klo mengadakan ataupun menyewakan gedung GOR utk acara..Dengan musik yg bergema keras, menggebur, bikin telinga sakit..Harusnya klo ada acara2 dgn musik yg seperti itu jgn di gor,, klo gaa sanggup sewa club minimal ditempatkan di aula atau ruangan terbuka sekalian, GOR tempat yg tertutup bahkan bergema,, sangat sangat mengganggu masyarakat sekitar!!!!!!!!!!!!!!!!!!!!!!!!!!!Harusnya bisa memporsikan berbagai acara..Disini kampus terletak bersampingan dgn masyarakat,, tapi yg punya management gaa berpikir dl klo mengadakan ataupun menyewakan gedung GOR utk acara.. …Lengkapnya",1
Nadiya Nur Altavia,"Aku joined this campus for 3 tahun tapi serahun virtual karna covid19, it's not enough! I feel like mau lanjut lagi karna vibes bareng temen temen yg kocak apalagi ngejar2 dosbing sampe malem hahahah",1
Agus Sulaeman,"Saya Ortu dari salah satu siswa ULBY yg mendapat beasiswa, sekarang sudah berjalan 2 tahun mengikuti proses kuliah dan tidak pernah ada tagihan biaya kuliah apapun ke saya.Saya yg bekerja sebagai Jasa Penjahit dan jualan pulsa kecil kecilan merasa sangat bersyukur dengan beasiswa yg di berikan ULBY kepada anak saya.Alhamdulillah......terimakasih yaa Allah,Terimakasih juga untuk semua pihak yg terlibat dalam program Beasiswa ini.Semoga kelak anak saya bisa menjadi anak yg berguna bagi banyak orang dan berbakti pada Orang Tua aamiin......Saya Ortu dari salah satu siswa ULBY yg mendapat beasiswa, sekarang sudah berjalan 2 tahun mengikuti proses kuliah dan tidak pernah ada tagihan biaya kuliah apapun ke saya. …Lengkapnya",1
laila rahmawatika,Saya dulu kuliah disini..tempatnya enak buat dipake belajar..masih asri pohon2nya pun masih rindang.akses angkot jg gampang.tempat makan jg banyak.,1
Ahmad s,"Saya tanya lewat WhatsApp terkait pendaftaran di ulbi adminnya lemot banget responnya, niat ga sih jadi admin dan niat juga ga membuka pendaftaran. lewat email juga ga ada tanggapan sudah beberapa hari dan saya sudah sering ngechat dan tetep sama tidak ada balesan. Gimana nih ULBI",4
Febriana Ayu Permatasari (Ay_persa),"Pemandangan yang masih asri. Walaupun jalan masuk ke sini telalu sempit. Tetapi saat masuk gerbang, lokasinya lumayan luas dan nyaman. Enak untuk menikmati suasana sunyi mencari kedamaian",4
Yuli Oktaviana,"Kampus terburuk yang pernah ada. Mencari keuntungan dengan modus ""beasiswa ikatan dinas"". Beasiswa mana yang harus bayar berkali-kali. Registrasi pertama bayar 450k, diterima 750 orang, lalu minta bayar registrasi lagi. Akhirnya butuh uang total 1.480.000 hahahaWajib dicurigai sih ini kampus.Duhhh bikin malu dan trust issue aja. Hati-hati gaes jangan sampe jadi korban!Kampus terburuk yang pernah ada. Mencari keuntungan dengan modus ""beasiswa ikatan dinas"". Beasiswa mana yang harus bayar berkali-kali. Registrasi pertama bayar 450k, diterima 750 orang, lalu minta bayar registrasi lagi. Akhirnya butuh uang …Lengkapnya",5
Devan MN,Menikmati pagi di wisma anggrek politeknik pos indonesia bandung ..Lumayan untuk kegiatan dengan rombongan besar ..Tapi sayang jalan menuju ke lokasi sempit untuk bawa rombongan dalam bus besar,5
Cecep Hasanudin,"Kampus Hijau, Bersih dan Nyaman. Tapi mesjidnya kecil 😭",5
Rusdi Kamajaya,Kampus nya cukup rindang sejuk lumayan luas lokasi nya,5
roni putro,Bangunan sudah modern..habis ini branding menjadi unipos..semoga semakin maju dan bisa mencetak generasi emas untuk logistik maju Indonesia,1
Cokorda Agung,"Tempat mencari ilmu, disini saya belajar kemandirian. Tempat banyak cerita cinta haha",1
San Miguel,"Jgn kuliah disini adik adik , ini kampus sangat buruk , banyak modus untuk mereka mencari uang",4
Muzaky Abrar,"Angkatan 2009, Lingkungan Nyaman, Kantin enak, fasilitas lengkap, lingkungan sekitar makanan enak.",4
Sheenia Karunia,"Di sinii  suasana kampus nya nyamaan dan kondusif.Falisitas yg disediakan memadai untuk kegiatan pembelajaran.Lingkungan area kampus juga aman, jauh dari hingar hingar. Banyak tempat healing yg bisa dijangkau Dr sinii 😁Merupakan pilihan yg tepat buat kamu yg ingin menjadi ahli di bidang management logistic. Trust me....Di sinii  suasana kampus nya nyamaan dan kondusif.Falisitas yg disediakan memadai untuk kegiatan pembelajaran. …Lengkapnya",1
Cica Wulan,"Universitas yang keren abiss. Tempat belajar yang oke, dengan proses belajar yang sangat menyenangkan sehingga mengantarkan saya pada sebuah kesempatan yang luar biasa untuk bisa mendapatkan beasiswa ikatan dinas oleh PT Pos Indonesia. Dengan jaminan lulus langsung kerja. ULBI keren ❤❤",1
Tampuras Sadek,"Kampusnya enak banget, asri dan adem, sarana olahraga juga lengkap, cari kosan sekitar situ banyak kok, tempat makan dan jajanan juga banyak, jadi gk kuatir kelaparan hehe...",4
Saripah Nur Aulia,"Saya berkunjung kesini ketika mengikuti tes UTBK. Setelah berkeliling, fasilitas kampus ini cukup bagus. Poltekpos dan Stimolog sekarang sedang proses meger ke ULBI(Universitas Logistik Bisnis Internasional) . Para satpam disini pada ramah, ada kegiatan mahasiswa juga yg terlihat menyenangkan.",4
Ibrahim Nazaril Al-Qotani,Temen saya masuk uks lagi osjur😥,5
Sakti Febrian,"Kampus terbaik bagi pendidikan ilmu logistik dan bisnis internasional,, dan lulusannya bener2 bisa langsung siap kerja karena adik saya sendiri juga alumni ULBI yg dulunya bernama Poltekpos.. 👍👍👍",5
Mukhlis Saputra,saya selaku ortu dari mahasiswi sangat berterimaksih kepada kampus ulbi .,5
M. Afrizal Azhari,"Salah satu Universitas Logistik & Bisnis terakreditasi yg bagus di Indonesia.. dengan standart pembelajaran Internasional.. memiliki fasilitas dan pengajar terbaik di bidang manajemen logistik and supply chain..Bagi yg ingin berkarir Professional atau Executive Muda di bidang Manajemen Logistik & Supply Chain, wajib masuk sini.. Lulusannya siap menghadapi era Industri 4.0... ✔️Salah satu Universitas Logistik & Bisnis terakreditasi yg bagus di Indonesia.. dengan standart pembelajaran Internasional.. memiliki fasilitas dan pengajar terbaik di bidang manajemen logistik and supply chain.. …Lengkapnya",5
surya ramadhan noor,"5 orang ponakan lulusan kampus Poltekpos dan anak sedang kuliah juga saat ini di ULBI, semoga dengan bergabungnya Politeknik Pos Indonesia dan Sekolah Tinggi Manajemen Logistik Indonesia menjadi Universitas Logistik dan Bisnis Internasional dapat menghasilkan lulusan yang siap bekerja dan juga siap untuk membuka lapangan kerja, semangaaaatt5 orang ponakan lulusan kampus Poltekpos dan anak sedang kuliah juga saat ini di ULBI, semoga dengan bergabungnya Politeknik Pos Indonesia dan Sekolah Tinggi Manajemen Logistik Indonesia menjadi Universitas Logistik dan Bisnis Internasional …Lengkapnya",4
ronald siahaan,"Kampusnya kren dan lingkunganya sejuk serta transportasi mudah, menghasilkan lulusan terbaik dibidang Logistik dan Supplay Chain dan siap.kerja sehingga cepat direkrut perusahaan yang bergerak dibidang Logistik dan Supplay Chain Manajemen.",4
Nurhidayati Agustini,"Termasuk perguruan tinggi berbasis logistik pertama di Indonesia, lulusannya keren banyak dibutuhkan. Setelah jadi ULBI lebih byk pilihan fakultas dan jurusan yang kekinian. Yuk segera gabung  jangan ragu- ragu. Bonusnya  kampusnya yg  luas dan nyaman.",5
Zainal Indra Putra,"Saya alumni angkatan pertama D4 Akuntansi Poltekpos yang skrg berubah menjadi Universitas Logistik dan Bisnis Internasional.Banyak ilmu dan pengalaman yang di dapat selama kuliah disini, terimakasih bapak/ibu dosen,akang teteh dan teman2 selama kuliah di Poltekpos Indonesia.Saya alumni angkatan pertama D4 Akuntansi Poltekpos yang skrg berubah menjadi Universitas Logistik dan Bisnis Internasional. …Lengkapnya",5
mochamad irfan,"PT pos Indonesia adalah badan usaha milik negara dan sudah pasti dijamin kapabilitasnya dengan jangkauan layanan yang merata diseluruh wilayah Indonesia, kami yakin PT Pos Indonesia akan selalu berbenah dan mengembangkan dirinya untuk menjadi perusahaan yang terbaik dengan penuh tanggung jawab terhadap konsumennya.",1
Krist Papua,"ULBI kampusnya keren, ikut membangun nusantara, menghasilkan tenaga yg siap pakai dengan kopentensi dan mutu yg terjamin ok!!Banyak univ di negeri ini yg baik tetapi yg terbaik dan siap kan masa depan terbaik hanya kampus ULBI. Mantap💪🙏👍👍👍",1
Diana Maryana -,"Kampus yang nyaman utk menimba ilmu dan menghasilkan banyak lulusan yang siap bekerja serta mampu bersaing di industri,Selamat dan sukses untuk ULBI (merger politeknik pos dan Stimlog)",5
