nama,review,bintang
Daryl Cokelat,"Kampus swasta  di area yg padat, luas sekali tp sayang penataan  parkir utk tamu terutama motor kurang nyaman, krn masuk ketempat parkir hrs pakai kartu sdg kan tamu gak punya dan tdk ada satpam ditempat yg bisa memberikan bantuanPetunjuk arah dlm kampus juga kurang sehingga hrs putar"" Utk cari gedung administrasinyaPelayanan ramah hanya keluhannya di tempat parkirnyaKampus swasta  di area yg padat, luas sekali tp sayang penataan  parkir utk tamu terutama motor kurang nyaman, krn masuk ketempat parkir hrs pakai kartu sdg kan tamu gak punya dan tdk ada satpam ditempat yg bisa memberikan bantuan …Lengkapnya",4
Aries Indanarto,"Siang hari ini hadir wisuda anak. Tempat wisuda kurang worted, duduknya sempit & panas ac kurang. Kudunya gedung model teather. Wiss..",4
mfft_27,jangan lupa follow  Ig : mfft_27trmksh 🙏🤩,1
Fadhil Muhammad,"Kampus swasta ternama, lokasi di bojongsoang kabupaten bandung, fasilitas kampus bagus dan lengkap",1
Rachmat Hidayar,"Yang terhormat bapak kepala satpam dan manajemen TelkomDimohon buat peraturan yang sehat bijaksanaBebaskan kami (ojol) masuk motor untuk mengantarkan gofood ke asrama kalo suruh jalan kaki dari parkiran ke asrama terlebih ke Kedung ABCD dan 678 itu sangat kejauhan menghambat waktu kami (ojol) yang lagi usahaMohon pengertian nya 🙏Samakan kami (ojol) dengan yang lainnya delivery,kurir, laundry ko bisa masuk kami (ojol) ko dilarang padahal kita sama2 lagi usaha, sekali lagi mohon pengertian nya , terimakasih 🙏Yang terhormat bapak kepala satpam dan manajemen TelkomDimohon buat peraturan yang sehat bijaksanaBebaskan kami (ojol) masuk motor untuk mengantarkan gofood ke asrama kalo suruh …Lengkapnya",5
Yuhardin SSI,"2016, Bisa Bikin Brand, Terimakasih Ilmunya Pak Bi",5
Muhammad Iqbal Winahyu,"WASTE TIME BANGET DI SURUH JALAN KE ASRAMA PUTRI, PADAHAL MAU ANTAR BARANG.GILIRAN KERABAT SEKURITI BISA BAWA MOTOR KE DALAM, KAN BANGKEEE....KALAU MAU PAKET DAN MAKANAN TITIP DI SEKURITI DAN ANTAR KEDALAM NYA DI ANTAR SEKURITI,WASTE TIME BANGET DI SURUH JALAN KE ASRAMA PUTRI, PADAHAL MAU ANTAR BARANG.GILIRAN KERABAT SEKURITI BISA BAWA MOTOR KE DALAM, KAN BANGKEEE.... …Lengkapnya",5
Betha AF,Kampus swasta terbaik di Indonesia. Kereeen...,5
Dudi Rustandi,"Perguruan tinggi swasta terbaik di Indonesia. Saat masuk gate 4 melalui jalur motor dan berjalan menuju gedung bangkit serasa berada di hutan kota. Konsep green campus benar-benar diterapkan oleh Telkom University, wajar mendapatkan penghargaan dengan peringkat keempat untuk UI Green Metric tingkat dunia.Di beberapa area terdapat danaunya. Pedestrian kanan kirinya pohon2 hijau tinggi menjulang. Walaupun berjalan dari satu gedung ke gedung lain yang jauh tidak terasa panas.Tel-U telah memanfaatkan dengan maksimal sumber daya yang tersedia sehingga betul-betul dapat menerapkan kampus dengan konsep Green Campus; sampah-sampah yang didaur ulang menjadi kompos, penggunaan kembali air untuk kebutuhan pengairan, dan lain sebagainya.Perguruan tinggi swasta terbaik di Indonesia. Saat masuk gate 4 melalui jalur motor dan berjalan menuju gedung bangkit serasa berada di hutan kota. Konsep green campus benar-benar diterapkan oleh Telkom University, wajar mendapatkan …Lengkapnya",1
Ratu Hasna Latifah Hanin,"Hati2 yg punya laptop saat dikampus telkom harus double proteksi, soalnya adik saya kehilangan laptop tapi gak ada cctv 1 pun ke arah kantin. Infonya kejadian kehilangan ini tidak sekali dua kali. Harap pihak telkom memperbaiki sisi keamanan bagian cctv untuk membantu investigasi kepolisan kalau terjadi lagi kehilangan barang mahasiswa.Kecewa sih sm kampus yg dibilang sdh bagus tapi tidak ada cctv.Hati2 yg punya laptop saat dikampus telkom harus double proteksi, soalnya adik saya kehilangan laptop tapi gak ada cctv 1 pun ke arah kantin. Infonya kejadian kehilangan ini tidak sekali dua kali. Harap pihak telkom memperbaiki sisi …Lengkapnya",1
